Customer,How satisfied were you with your overall delivery experience at Ali?                    1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the quality of the food at Alis?                             1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the speed of delivery at Alis?                                1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,Was your order accurate? Please respond yes or no.
1169,1,4,4,Yes
1170,3,3,3,No
1171,5,5,5,Yes
1172,3,3,3,Yes
1173,5,1,1,No
1174,2,5,5,Yes
1175,4,5,5,Yes
1176,3,2,2,Yes
1177,1,1,1,Yes
1178,5,5,5,No
1179,2,2,2,Yes
1180,4,3,3,Yes
1181,5,5,5,Yes
1182,2,3,3,No
1183,5,4,4,Yes
1184,3,5,5,Yes
1185,1,2,2,Yes
1186,5,5,5,Yes
1187,3,1,1,No
1188,2,3,3,Yes
1189,2,5,5,Yes
1190,4,3,3,Yes
1191,4,5,5,Yes
1192,3,2,2,No
1193,5,4,4,Yes
1194,3,3,3,Yes
1195,1,1,1,Yes
1196,5,5,5,Yes
1197,5,2,2,Yes
1198,2,4,4,Yes
1199,1,5,5,No
1200,5,2,2,Yes
1201,2,5,5,
1202,3,3,3,
1203,,1,1,Yes
1204,5,5,5,Yes
1205,3,3,3,Yes
1206,4,2,2,Yes
1207,5,2,2,Yes
1208,2,4,4,Yes
1209,5,4,4,Yes
1210,1,3,3,No
1211,3,5,5,Yes
1212,5,3,3,No
1213,3,1,1,Yes
1214,5,5,5,Yes
1215,2,5,5,No
1216,4,2,2,Yes
1217,3,1,1,Yes
1218,1,5,5,Yes
1219,5,2,2,Yes
1220,2,3,3,No
1221,4,,,Yes
1222,5,,,Yes
1223,2,,,Yes
1224,5,,,No
1225,3,,,Yes
1226,1,,,Yes
1227,5,,,Yes
1228,3,,,Yes
1229,2,,,No
1230,2,,,Yes
1231,4,,,Yes
1232,4,,,Yes
1233,3,,5,Yes
1234,5,,3,No
1235,3,5,4,Yes
1236,1,3,5,Yes
1237,5,4,2,Yes
1238,5,5,5,Yes
1239,2,2,1,Yes
1240,1,5,3,Yes
1241,5,1,5,No
1242,2,3,3,Yes
1243,3,5,5,Yes
1244,5,3,2,Yes
1245,3,5,4,Yes
1246,4,2,3,Yes
1247,5,4,1,Yes
1248,2,3,5,Yes
1249,5,1,2,Yes
1250,1,5,4,No
1251,3,2,5,Yes
1252,5,4,2,No
1253,3,5,5,Yes
1254,5,2,3,Yes
1255,2,5,1,No
1256,4,3,5,Yes
1257,3,1,3,Yes
1258,1,5,2,Yes
1259,5,3,2,Yes
1260,2,2,4,No
1261,4,2,4,Yes
1262,5,4,3,Yes
1263,2,4,5,Yes
1264,5,3,3,No
1265,3,5,1,Yes
1266,1,3,5,Yes
1267,5,1,5,Yes
1268,3,5,2,Yes
1269,2,5,1,No
1270,2,2,5,Yes
1271,4,1,2,Yes
1272,4,5,3,Yes
1273,3,2,5,Yes
1274,5,3,3,No
1275,3,5,4,Yes
1276,1,3,5,Yes
1277,5,4,2,Yes
1278,5,5,5,Yes
1279,2,2,1,Yes
1280,1,5,3,Yes
1281,5,1,5,No
1282,2,3,3,Yes
1283,3,5,5,Yes
1284,5,3,2,Yes
1285,3,5,4,Yes
1286,4,2,3,Yes
1287,5,4,1,Yes
1288,2,3,5,Yes
1289,5,1,2,Yes
1290,1,5,4,No
1291,3,2,5,Yes
1292,5,4,2,No
1293,3,5,5,Yes
1294,5,2,3,Yes
1295,2,5,1,No
1296,4,3,5,Yes
1297,3,1,3,Yes
1298,1,5,2,Yes
1299,5,3,2,Yes
1300,2,2,4,No
1301,4,2,4,Yes
1302,5,4,3,Yes
1303,2,4,5,Yes
1304,5,3,3,No
1305,3,5,1,Yes
1306,1,3,5,Yes
1307,5,1,5,Yes
1308,3,5,2,Yes
1309,2,5,1,No
1310,2,2,5,Yes
1311,4,1,2,Yes
1312,4,5,3,Yes
1313,3,2,5,Yes
1314,5,3,3,No
1315,3,5,4,Yes
1316,1,3,5,Yes
1317,5,4,2,Yes
1318,5,5,5,Yes
1319,2,2,1,Yes
1320,1,5,3,Yes
1321,5,1,5,No
1322,2,3,3,Yes
1323,3,5,5,Yes
1324,5,3,2,Yes
1325,3,5,4,Yes
1326,4,2,3,Yes
1327,5,4,1,Yes
1328,2,3,5,Yes
1329,5,1,2,Yes
1330,1,5,4,No
1331,3,2,5,Yes
1332,5,4,2,No
1333,3,5,5,Yes
1334,5,2,3,Yes
1335,2,5,1,No
1336,4,3,5,Yes
1337,3,1,3,Yes
1338,1,5,2,Yes
1339,5,3,2,Yes
1340,2,2,4,No
1341,4,2,4,Yes
1342,5,4,3,Yes
1343,2,4,5,Yes
1344,5,3,3,No
1345,3,5,1,Yes
1346,1,3,5,Yes
1347,5,1,5,Yes
1348,3,5,2,Yes
1349,2,5,1,No
1350,2,2,5,Yes
1351,4,1,2,Yes
1352,4,5,3,Yes
1353,3,2,5,Yes
1354,5,3,3,No
1355,3,5,4,Yes
1356,1,3,5,Yes
1357,5,4,2,Yes
1358,5,5,5,Yes
1359,2,2,1,Yes
1360,1,5,3,Yes
1361,5,1,5,No
1362,2,3,3,Yes
1363,3,5,5,Yes
1364,,3,2,Yes
1365,5,5,4,Yes
1366,3,2,3,Yes
1367,4,4,1,Yes
1368,5,3,5,Yes
1369,2,1,2,Yes
1370,5,5,4,No
1371,1,2,5,Yes
1372,3,4,2,No
1373,5,5,5,Yes
1374,3,2,3,Yes
1375,5,5,1,No
1376,2,3,5,Yes
1377,4,1,3,Yes
1378,3,5,2,Yes
1379,1,3,2,Yes
1380,5,2,4,No
1381,2,2,4,Yes
1382,4,4,3,Yes
1383,5,4,5,Yes
1384,2,3,3,No
1385,5,5,1,Yes
1386,3,3,5,Yes
1387,1,1,5,Yes
1388,5,5,2,Yes
1389,3,5,1,No
1390,2,2,5,Yes
1391,2,1,2,Yes
1392,4,5,3,Yes
1393,4,2,,Yes
1394,3,3,,No
1395,5,,,Yes
1396,3,,,Yes
1397,1,,,Yes
1398,5,3,4,Yes
1399,3,4,3,Yes
1400,4,5,2,Yes
1401,5,3,4,No
1402,2,5,1,Yes
1403,5,2,5,Yes
1404,1,4,3,Yes
1405,3,3,2,Yes
1406,5,1,3,Yes
1407,3,5,3,Yes
1408,5,3,4,Yes
1409,2,2,5,Yes
1410,4,5,3,No
1411,3,4,2,Yes
1412,1,5,1,No
1413,5,4,5,Yes
1414,2,2,4,Yes
1415,4,5,4,No
1416,5,1,5,Yes
1417,2,4,4,Yes
1418,5,5,1,Yes
1419,3,3,3,Yes
1420,1,5,5,No
1421,5,4,4,Yes
1422,3,3,2,Yes
1423,2,3,4,Yes
1424,2,2,3,No
1425,4,5,4,Yes
1426,4,1,2,Yes
1427,3,4,5,Yes
1428,5,5,4,Yes
1429,3,3,4,No
1430,1,2,5,Yes
1431,5,5,1,Yes
1432,5,1,2,Yes
1433,2,3,3,Yes
1434,1,5,4,No
1435,5,4,3,Yes
1436,2,2,4,Yes
1437,3,3,2,Yes
1438,5,5,5,Yes
1439,3,3,3,Yes
1440,4,4,4,Yes
1441,5,5,5,No
1442,2,2,2,Yes
1443,5,5,5,Yes
1444,1,1,1,Yes
1445,3,3,3,Yes
1446,5,5,5,Yes
1447,3,3,3,Yes
1448,5,5,5,Yes
1449,2,2,2,Yes
1450,4,4,4,No
1451,3,3,3,Yes
1452,1,1,1,No
1453,5,5,5,Yes
1454,2,2,2,Yes
1455,4,4,4,No
1456,5,5,5,Yes
1457,2,2,2,Yes
1458,5,5,5,Yes
1459,3,3,3,Yes
1460,1,1,1,No
1461,5,5,5,Yes
1462,3,3,3,Yes
1463,2,2,2,Yes
1464,2,2,2,No
1465,4,4,4,Yes
1466,4,4,4,Yes
1467,3,3,3,Yes
1468,5,5,5,Yes
1469,3,3,3,No
1470,1,1,1,Yes
1471,5,5,5,Yes
1472,5,5,5,Yes
1473,2,2,2,Yes
1474,1,1,1,No
1475,5,5,5,Yes
1476,2,2,2,Yes
1477,3,3,3,Yes
1478,5,5,5,Yes
1479,3,3,3,Yes
1480,4,4,4,Yes
1481,5,5,5,No
1482,2,2,2,Yes
1483,5,5,5,Yes
1484,1,1,1,Yes
1485,3,3,3,Yes
1486,5,5,5,Yes
1487,3,3,3,Yes
1488,5,5,5,Yes
1489,2,2,2,Yes
1490,4,4,4,No
1491,3,3,3,Yes
1492,1,1,1,No
1493,5,5,5,Yes
1494,2,2,2,Yes
1495,4,4,4,No
1496,5,5,5,Yes
1497,2,2,2,Yes
1498,5,5,5,Yes
1499,3,3,3,Yes
1500,1,1,1,No
1501,5,5,5,Yes
1502,3,3,3,Yes
1503,2,2,2,Yes
1504,2,2,2,No
1505,4,4,4,Yes
1506,4,4,4,Yes
1507,3,3,3,Yes
1508,5,5,5,Yes
1509,3,3,3,No
1510,1,1,1,Yes
1511,5,5,5,Yes
1512,5,5,5,Yes
1513,2,2,2,Yes
1514,1,1,1,No
1515,5,5,5,Yes
1516,2,2,2,Yes
1517,3,3,3,Yes
1518,5,5,5,Yes
1519,3,3,3,Yes
1520,4,4,4,Yes
1521,5,5,5,No
1522,2,2,2,Yes
1523,5,5,5,Yes
1524,1,1,1,Yes
1525,3,3,3,Yes
1526,5,5,5,Yes
1527,3,3,3,Yes
1528,5,5,5,Yes
1529,2,2,2,Yes
1530,4,4,4,No
1531,3,3,3,Yes
1532,1,1,1,No
1533,5,5,5,Yes
1534,2,2,2,Yes
1535,4,4,4,No
1536,5,5,5,Yes
1537,2,2,2,Yes
1538,5,5,5,Yes
1539,3,3,3,Yes
1540,1,1,1,No
1541,5,5,5,Yes
1542,3,3,3,Yes
1543,2,2,2,Yes
1544,2,2,2,No
1545,4,4,4,Yes
1546,4,4,4,Yes
1547,3,3,3,Yes
1548,5,5,5,Yes
1549,3,3,3,No
1550,1,1,1,Yes
1551,5,5,5,Yes
1552,5,5,5,Yes
1553,2,2,2,Yes
1554,1,1,1,No
1555,5,5,5,Yes
1556,2,2,2,Yes
1557,3,3,3,Yes
1558,5,5,5,Yes
1559,3,3,3,Yes
1560,4,4,4,Yes
1561,5,5,5,No
1562,2,2,2,Yes
1563,5,5,5,Yes
1564,1,1,1,Yes
1565,3,3,3,Yes
1566,5,5,5,Yes
1567,3,3,3,Yes
1568,5,5,5,Yes
1569,2,2,2,Yes
1570,4,4,4,No
1571,3,3,3,Yes
1572,1,1,1,No
1573,5,5,5,Yes
1574,2,2,2,Yes
1575,4,4,4,No
1576,5,5,5,Yes
1577,2,2,2,Yes
1578,5,5,5,Yes
1579,3,3,3,Yes
1580,1,1,1,No
1581,5,5,5,Yes
1582,3,3,3,Yes
1583,2,2,2,Yes
1584,2,2,2,No
1585,4,4,4,Yes
1586,4,4,4,Yes
1587,3,3,3,Yes
1588,5,5,5,Yes
1589,3,3,3,No
1590,1,1,1,Yes
1591,5,5,5,Yes
1592,5,5,5,Yes
1593,2,2,2,Yes
1594,1,1,1,No
1595,5,5,5,Yes
1596,2,2,2,Yes
1597,3,3,3,Yes
1598,5,5,5,Yes
1599,3,3,3,Yes
1600,4,4,4,Yes
1601,5,5,5,No
1602,2,2,2,Yes
1603,5,5,5,
1604,1,1,1,
1605,3,3,3,
1606,5,5,5,
1607,3,3,3,
1608,5,5,5,
1609,2,2,2,
1610,4,4,4,
1611,3,3,3,
1612,1,1,1,
1613,5,5,5,
1614,2,2,2,
1615,4,4,4,
1616,5,5,5,
1617,2,2,2,
1618,5,5,5,
1619,3,3,3,
1620,1,1,1,
1621,5,5,5,
1622,3,3,3,
1623,2,2,2,
1624,2,2,2,
1625,4,4,4,
1626,4,4,4,
1627,3,3,3,
1628,5,5,5,
1629,3,3,3,
1630,1,1,1,
1631,5,5,5,
1632,5,5,5,
1633,2,2,2,
1634,1,1,1,
1635,5,5,5,
1636,2,2,2,
1637,3,3,3,
1638,5,5,5,
1639,3,3,3,
1640,4,4,4,
1641,5,5,5,
1642,2,2,2,
1643,5,5,5,
1644,1,1,1,
1645,3,3,3,
1646,5,5,5,
1647,3,3,3,
1648,5,5,5,
1649,2,2,2,
1650,4,4,4,
1651,3,3,3,
1652,1,1,1,
1653,5,5,5,
1654,2,2,2,
1655,4,4,4,
1656,5,5,5,
1657,2,2,2,
1658,5,5,5,
1659,3,3,3,
1660,1,1,1,
1661,5,5,5,
1662,3,3,3,
1663,2,2,2,
1664,2,2,2,
1665,4,4,4,
1666,4,4,4,
1667,3,3,3,
1668,5,5,5,
1669,3,3,3,Yes
1670,1,1,1,Yes
1671,5,5,5,Yes
1672,5,5,5,Yes
1673,2,2,2,Yes
1674,1,1,1,Yes
1675,5,5,5,Yes
1676,2,2,2,No
1677,3,3,3,Yes
1678,5,5,5,No
1679,3,3,3,Yes
1680,4,4,4,Yes
1681,5,5,5,No
1682,2,2,2,Yes
1683,5,5,5,Yes
1684,1,1,1,Yes
1685,3,3,3,Yes
1686,5,5,5,No
1687,3,3,3,Yes
1688,5,5,5,Yes
1689,2,2,2,Yes
1690,4,4,4,No
1691,3,3,3,Yes
1692,1,1,1,Yes
1693,5,5,5,Yes
1694,2,2,2,Yes
1695,4,4,4,No
1696,5,5,5,Yes
1697,2,2,2,Yes
1698,5,5,5,Yes
1699,3,3,3,Yes
1700,1,1,1,No
1701,5,5,5,Yes
1702,3,3,3,Yes
1703,2,2,2,Yes
1704,2,2,2,Yes
1705,4,4,4,Yes
1706,4,4,4,Yes
1707,3,3,3,No
1708,5,5,5,Yes
1709,3,3,3,Yes
1710,1,1,1,Yes
1711,5,5,5,Yes
1712,5,5,5,Yes
1713,2,2,2,Yes
1714,1,1,1,Yes
1715,5,5,5,Yes
1716,2,2,2,No
1717,3,3,3,Yes
1718,,5,5,No
1719,,3,3,Yes
1720,,4,4,Yes
1721,,5,5,No
1722,,2,2,Yes
1723,,5,5,Yes
1724,,1,1,Yes
1725,,3,3,Yes
1726,,5,5,No
1727,,3,3,Yes
1728,,5,5,Yes
1729,,2,2,Yes
1730,,4,4,No
1731,,3,3,Yes
1732,,1,1,Yes
1733,,5,5,Yes
1734,,2,2,Yes
1735,,4,4,No
1736,,5,5,Yes
1737,,2,2,Yes
1738,,5,5,Yes
1739,,3,3,Yes
1740,,1,1,No
1741,5,5,5,Yes
1742,3,3,3,Yes
1743,4,2,2,Yes
1744,5,2,2,Yes
1745,2,4,4,Yes
1746,5,4,4,Yes
1747,1,3,3,No
1748,3,5,5,Yes
1749,5,3,3,Yes
1750,3,1,1,Yes
1751,5,5,5,Yes
1752,2,5,5,Yes
1753,4,2,2,Yes
1754,3,1,1,Yes
1755,1,5,5,Yes
1756,5,2,2,No
1757,2,3,3,Yes
1758,4,,,No
1759,5,5,5,Yes
1760,2,3,3,Yes
1761,5,4,4,No
1762,3,5,5,Yes
1763,1,2,2,Yes
1764,5,5,5,Yes
1765,3,1,1,Yes
1766,2,3,3,No
1767,2,5,5,Yes
1768,4,3,3,Yes
1769,4,5,5,Yes
1770,3,2,2,No
1771,5,4,4,Yes
1772,3,3,3,Yes
1773,1,1,1,Yes
1774,5,5,5,Yes
1775,5,2,2,No
1776,2,4,4,Yes
1777,1,5,5,Yes
1778,5,2,2,Yes
1779,2,5,5,Yes
1780,3,3,3,No
1781,5,1,1,Yes
1782,3,5,5,Yes
1783,4,3,3,Yes
1784,5,2,2,Yes
1785,2,2,2,Yes
1786,5,4,4,Yes
1787,1,4,4,No
1788,3,3,3,Yes
1789,5,5,5,Yes
1790,3,3,3,Yes
1791,5,1,1,Yes
1792,2,5,5,Yes
1793,4,5,5,Yes
1794,3,2,2,Yes
1795,1,1,1,Yes
1796,5,5,5,No
1797,2,2,2,Yes
1798,4,3,3,No
1799,5,5,5,Yes
1800,2,3,3,Yes
1801,5,4,4,No
1802,3,5,5,Yes
1803,1,2,2,Yes
1804,5,5,5,Yes
1805,3,1,1,Yes
1806,2,3,3,No
1807,2,5,5,Yes
1808,4,3,3,Yes
1809,4,5,5,Yes
1810,3,2,2,No
1811,5,4,4,Yes
1812,3,3,3,Yes
1813,1,1,1,Yes
1814,5,5,5,Yes
1815,5,2,2,No
1816,2,4,4,Yes
1817,1,5,5,Yes
1818,5,2,2,Yes
1819,2,5,5,Yes
1820,3,3,3,No
1821,5,1,1,Yes
1822,3,5,5,Yes
1823,4,3,3,Yes
1824,5,2,2,Yes
1825,2,2,2,Yes
1826,5,4,4,Yes
1827,1,4,4,No
1828,3,3,3,Yes
1829,5,5,5,Yes
1830,3,3,3,Yes
1831,5,1,1,Yes
1832,2,5,5,Yes
1833,4,5,5,Yes
1834,3,2,2,Yes
1835,1,1,1,Yes
1836,5,5,5,No
1837,2,2,2,Yes
1838,4,3,3,No
1839,5,5,5,Yes
1840,2,3,3,Yes
1841,5,4,4,No
1842,3,5,5,Yes
1843,1,2,2,Yes
1844,5,5,5,Yes
1845,3,1,1,Yes
1846,2,3,3,No
1847,2,5,5,Yes
1848,4,3,3,Yes
1849,4,5,5,Yes
1850,3,2,2,No
1851,5,4,4,Yes
1852,3,3,3,Yes
1853,1,1,1,Yes
1854,5,5,5,Yes
1855,5,2,2,No
1856,2,4,4,Yes
1857,1,5,5,Yes
1858,5,2,2,Yes
1859,2,5,5,Yes
1860,3,3,3,No
1861,5,1,1,Yes
1862,3,5,5,Yes
1863,4,3,3,Yes
1864,5,2,2,Yes
1865,2,2,2,Yes
1866,5,4,4,Yes
1867,1,4,4,No
1868,3,3,3,Yes
1869,5,5,5,Yes
1870,3,3,3,Yes
1871,5,1,1,Yes
1872,2,5,5,Yes
1873,4,5,5,Yes
1874,3,2,2,Yes
1875,1,1,1,Yes
1876,5,5,5,No
1877,2,2,2,Yes
1878,4,3,3,No
1879,5,5,5,Yes
1880,2,3,3,Yes
1881,5,4,4,No
1882,3,5,5,Yes
1883,1,2,2,Yes
1884,5,5,5,Yes
1885,3,1,1,Yes
1886,2,3,3,No
1887,2,5,5,Yes
1888,4,3,3,Yes
1889,4,5,5,Yes
1890,3,2,2,No
1891,5,4,4,Yes
1892,3,3,3,Yes
1893,1,1,1,Yes
1894,5,5,5,Yes
1895,5,2,2,No
1896,2,4,4,Yes
1897,1,5,5,Yes
1898,5,2,2,Yes
1899,2,5,5,Yes
1900,3,3,3,No
1901,,1,1,Yes
1902,5,5,5,Yes
1903,3,3,3,Yes
1904,4,2,2,Yes
1905,5,2,2,Yes
1906,2,4,4,Yes
1907,5,4,4,No
1908,1,3,3,Yes
1909,3,5,5,Yes
1910,5,3,3,Yes
1911,3,1,1,Yes
1912,5,5,5,Yes
1913,2,5,5,Yes
1914,4,2,2,Yes
1915,3,1,1,Yes
1916,1,5,5,No
1917,5,2,2,Yes
1918,2,3,3,No
1919,4,,,Yes
1920,5,,,Yes
1921,2,,,No
1922,5,,,Yes
1923,3,,,Yes
1924,1,,,Yes
1925,5,,,Yes
1926,3,,,No
1927,2,,,Yes
1928,2,,,Yes
1929,4,,,Yes
1930,4,,,No
1931,3,,5,Yes
1932,5,,3,Yes
1933,3,5,4,Yes
1934,1,3,5,Yes
1935,5,4,2,No
1936,5,5,5,Yes
1937,2,2,1,Yes
1938,1,5,3,Yes
1939,5,1,5,Yes
1940,2,3,3,No
1941,3,5,5,Yes
1942,5,3,2,Yes
1943,3,5,4,Yes
1944,4,2,3,Yes
1945,5,4,1,Yes
1946,2,3,5,Yes
1947,5,1,2,No
1948,1,5,4,Yes
1949,3,2,5,Yes
1950,5,4,2,Yes
1951,3,5,5,Yes
1952,5,2,3,Yes
1953,2,5,1,Yes
1954,4,3,5,Yes
1955,3,1,3,Yes
1956,1,5,2,No
1957,5,3,2,Yes
1958,2,2,4,No
1959,4,2,4,Yes
1960,5,4,3,Yes
1961,2,4,5,No
1962,5,3,3,Yes
1963,3,5,1,Yes
1964,1,3,5,Yes
1965,5,1,5,Yes
1966,3,5,2,No
1967,2,5,1,Yes
1968,2,2,5,Yes
1969,4,1,2,Yes
1970,4,5,3,No
1971,3,2,5,Yes
1972,5,3,3,Yes
1973,3,5,4,Yes
1974,1,3,5,Yes
1975,5,4,2,No
1976,5,5,5,Yes
1977,2,2,1,Yes
1978,1,5,3,Yes
1979,5,1,5,Yes
1980,5,3,4,No
1981,3,4,3,Yes
1982,4,5,2,Yes
1983,5,3,4,Yes
1984,2,5,1,Yes
1985,5,2,5,Yes
1986,1,4,3,Yes
1987,3,3,2,No
1988,5,1,3,Yes
1989,3,5,3,Yes
1990,5,3,4,Yes
1991,2,2,5,Yes
1992,4,5,3,Yes
1993,3,4,2,Yes
1994,1,5,1,Yes
1995,5,4,5,Yes
1996,2,2,4,No
1997,4,5,4,Yes
1998,5,1,5,No
1999,2,4,4,Yes
2000,5,5,1,Yes
2001,3,3,3,No
2002,1,5,5,Yes
2003,5,4,4,Yes
2004,3,3,2,Yes
2005,2,3,4,Yes
2006,2,2,3,No
2007,4,5,4,Yes
2008,4,1,2,Yes
2009,3,4,5,Yes
2010,5,5,4,No
2011,3,3,4,Yes
2012,1,2,5,Yes
2013,5,5,1,Yes
2014,5,1,2,Yes
2015,2,3,3,No
2016,1,5,4,Yes
2017,5,4,3,Yes
2018,2,2,4,Yes
2019,3,3,2,Yes
2020,5,5,5,No
2021,3,3,3,Yes
2022,4,4,4,Yes
2023,5,5,5,Yes
2024,2,2,2,Yes
2025,5,5,5,Yes
2026,1,1,1,Yes
2027,3,3,3,No
2028,5,5,5,Yes
2029,3,3,3,Yes
2030,5,5,5,Yes
2031,2,2,2,Yes
2032,4,4,4,Yes
2033,3,3,3,Yes
2034,1,1,1,Yes
2035,5,3,4,Yes
2036,3,4,3,No
2037,4,5,2,Yes
2038,5,3,4,No
2039,2,5,1,Yes
2040,5,2,5,Yes
2041,1,4,3,No
2042,3,3,2,Yes
2043,5,1,3,Yes
2044,3,5,3,Yes
2045,5,3,4,Yes
2046,2,2,5,No
2047,4,5,3,Yes
2048,3,4,2,Yes
2049,1,5,1,Yes
2050,5,4,5,No
2051,2,2,4,Yes
2052,4,5,4,Yes
2053,5,1,5,Yes
2054,2,4,4,Yes
2055,5,5,1,No
2056,3,3,3,Yes
2057,1,5,5,Yes
2058,5,4,4,Yes
2059,3,3,2,Yes
2060,2,3,4,No
2061,2,2,3,Yes
2062,4,5,4,Yes
2063,4,1,2,Yes
2064,3,4,5,Yes
2065,5,5,4,Yes
2066,3,3,4,Yes
2067,1,2,5,No
2068,5,5,1,Yes
2069,5,1,2,
2070,2,3,3,
2071,1,5,4,
2072,5,4,3,
2073,2,2,4,No
2074,3,3,2,No
2075,5,5,5,No
2076,3,3,3,No
2077,4,4,4,No
2078,5,5,5,No
2079,2,2,2,No
2080,5,5,5,No
2081,1,1,1,No
2082,3,3,3,No
2083,5,5,5,No
2084,3,3,3,No
2085,5,5,5,No
2086,2,2,2,No
2087,4,4,4,No
2088,3,3,3,No
2089,1,1,1,No
2090,5,5,5,No
2091,2,2,2,No
2092,4,4,4,No
2093,5,5,5,No
2094,2,2,2,No
2095,5,5,5,No
2096,3,3,3,No
2097,1,1,1,No
2098,5,5,5,No
2099,3,3,3,No
2100,2,2,2,No
2101,2,2,2,No
2102,4,4,4,No
2103,4,4,4,
2104,3,3,3,
2105,5,5,5,
2106,3,3,3,
2107,1,1,1,
2108,5,5,5,
2109,5,5,5,
2110,2,2,2,
2111,1,1,1,
2112,5,5,5,
2113,2,2,2,
2114,3,3,3,
2115,5,5,5,
2116,3,3,3,
2117,5,3,4,
2118,3,4,3,
2119,4,5,2,
2120,5,3,4,
2121,2,5,1,
2122,5,2,5,
2123,1,4,3,
2124,3,3,2,
2125,5,1,3,
2126,3,5,3,
2127,5,3,4,
2128,2,2,5,
2129,4,5,3,
2130,3,4,2,
2131,1,5,1,
2132,5,4,5,
2133,2,2,4,
2134,4,5,4,
2135,5,1,5,
2136,2,4,4,
2137,5,5,1,
2138,3,3,3,
2139,1,5,5,
2140,5,4,4,
2141,3,3,2,
2142,2,3,4,
2143,2,2,3,
2144,4,5,4,
2145,4,1,2,
2146,3,4,5,
2147,5,5,4,
2148,3,3,4,
2149,1,2,5,
2150,5,5,1,
2151,5,1,2,
2152,2,3,3,
2153,1,5,4,
2154,5,4,3,
2155,2,2,4,
2156,3,3,2,
2157,5,5,5,
2158,3,3,3,
2159,4,4,4,
2160,5,5,5,
2161,2,2,2,
2162,5,5,5,
2163,1,1,1,
2164,3,3,3,Yes
2165,5,5,5,Yes
2166,3,3,3,Yes
2167,5,5,5,Yes
2168,2,2,2,Yes
2169,4,4,4,Yes
2170,3,3,3,Yes
2171,1,1,1,Yes
2172,5,5,5,Yes
2173,2,2,2,Yes
2174,4,4,4,Yes
2175,5,5,5,Yes
2176,2,2,2,Yes
2177,5,5,5,Yes
2178,3,3,3,Yes
2179,1,1,1,Yes
2180,5,5,5,Yes
2181,3,3,3,Yes
2182,2,2,2,Yes
2183,2,2,2,Yes
2184,4,4,4,Yes
2185,4,4,4,Yes
2186,3,3,3,Yes
2187,5,5,5,Yes
2188,3,3,3,Yes
2189,1,1,1,Yes
2190,5,5,5,Yes
2191,5,5,5,Yes
2192,2,2,2,Yes
2193,1,1,1,Yes
2194,5,5,5,Yes
2195,2,2,2,Yes
2196,3,3,3,
2197,5,5,5,
2198,3,3,3,
2199,4,4,4,
2200,5,5,5,
2201,2,2,2,
2202,5,5,5,
2203,1,1,1,
2204,3,3,3,
2205,5,5,5,
2206,3,3,3,
2207,5,5,5,
2208,2,2,2,
2209,4,4,4,
2210,3,3,3,
2211,1,1,1,
2212,5,5,5,
2213,2,2,2,
2214,4,4,4,
2215,5,5,5,
2216,2,2,2,
2217,5,5,5,
2218,3,3,3,
2219,1,1,1,
2220,5,5,5,Yes
2221,3,3,3,Yes
2222,2,2,2,Yes
2223,2,2,2,Yes
2224,4,4,4,Yes
2225,4,4,4,Yes
2226,3,3,3,Yes
2227,5,5,5,No
2228,3,3,3,Yes
2229,1,1,1,No
2230,5,5,5,Yes
2231,5,5,5,Yes
2232,2,2,2,No
2233,1,1,1,Yes
2234,5,5,5,Yes
2235,2,2,2,Yes
2236,3,3,3,Yes
2237,5,5,5,No
2238,3,3,3,Yes
2239,4,4,4,Yes
2240,5,5,5,Yes
2241,2,2,2,No
2242,5,5,5,Yes
2243,1,1,1,Yes
2244,3,3,3,Yes
2245,5,5,5,Yes
2246,3,3,3,No
2247,5,5,5,Yes
2248,2,2,2,Yes
2249,4,4,4,Yes
2250,3,3,3,Yes
2251,1,1,1,No
2252,5,5,5,Yes
2253,2,2,2,Yes
2254,4,4,4,Yes
2255,5,5,5,Yes
2256,2,2,2,Yes
2257,5,5,5,Yes
2258,3,3,3,No
2259,1,1,1,Yes
2260,5,5,5,Yes
2261,3,3,3,Yes
2262,2,2,2,Yes
2263,2,2,2,Yes
2264,4,4,4,Yes
2265,4,4,4,Yes
2266,3,3,3,Yes
2267,5,5,5,No
2268,3,3,3,Yes
2269,1,1,1,No
2270,5,5,5,Yes
2271,5,5,5,Yes
2272,2,2,2,No
2273,1,1,1,Yes
2274,5,5,5,Yes
2275,2,2,2,Yes
2276,3,3,3,Yes
2277,5,5,5,No
2278,3,3,3,Yes
2279,4,4,4,Yes
2280,5,5,5,Yes
2281,2,2,2,No
2282,5,5,5,Yes
2283,1,1,1,Yes
2284,3,3,3,Yes
2285,5,5,5,Yes
2286,3,3,3,No
2287,5,5,5,Yes
2288,2,2,2,Yes
2289,4,4,4,Yes
2290,3,3,3,Yes
2291,1,1,1,No
2292,5,5,5,Yes
2293,2,2,2,Yes
2294,4,4,4,Yes
2295,5,5,5,Yes
2296,2,2,2,Yes
2297,5,5,5,Yes
2298,3,3,3,No
2299,1,1,1,Yes
2300,5,5,5,Yes
2301,3,3,3,Yes
2302,2,2,2,Yes
2303,2,2,2,Yes
2304,4,4,4,Yes
2305,4,4,4,Yes
2306,3,3,3,Yes
